# Server version 0.08 running on 142.157.75.105:8123
# Game ID: 203
# Board class: pentago_swap.PentagoBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Fri Apr 05 20:58:37 EDT 2019
# Player 1: Player-0, '260745604', running on 142.157.75.105
# Player 2: Player-1, 'RandomPlayer', running on 142.157.75.105
START Player-0 260745604
START Player-1 RandomPlayer
1 1 BR TL 0
0 1 TR BR 1
1 1 TL TR 0
3 3 TL TR 1
1 0 TR BR 0
2 1 BL BR 1
1 2 TL BL 0
3 2 TL BL 1
4 0 TR BL 0
GAMEOVER WINNER 0
# Game ended: Fri Apr 05 20:58:37 EDT 2019
